title	authors	year	venue	url	open_pdf	topic	why
The Next 700 Programming Languages	P. J. Landin	1966	CACM	https://doi.org/10.1145/365230.365257	https://www.cs.cmu.edu/~crary/819-f09/Landin66.pdf	semantics-and-language-design	Frames the whole family of languages around a small applicative core (ISWIM).
An Axiomatic Basis for Computer Programming	C. A. R. Hoare	1969	CACM	https://doi.org/10.1145/363235.363259		program-logics-and-verification	Introduces Hoare logic and the pre/postcondition triple.
Towards a Theory of Type Structure	John C. Reynolds	1974	Programming Symposium	https://doi.org/10.1007/3-540-06859-7_148	https://www.cis.upenn.edu/~stevez/cis670/pdfs/Reynolds74.pdf	types-and-polymorphism	Introduces the polymorphic lambda calculus (System F).
Abstract Interpretation: A Unified Lattice Model for Static Analysis	Patrick Cousot, Radhia Cousot	1977	POPL	https://doi.org/10.1145/512950.512973	https://www.di.ens.fr/~cousot/publications.www/CousotCousot-POPL-77-ACM-p238--252-1977.pdf	semantics-and-language-design	The theory underlying essentially all sound static analysis.
A Theory of Type Polymorphism in Programming	Robin Milner	1978	JCSS	https://doi.org/10.1016/0022-0000(78)90014-4	https://research.cs.queensu.ca/home/cordy/cisc860/Biblio/hurd/misc/milner78.pdf	types-and-polymorphism	Let-polymorphism and Algorithm W, the inference core of ML/Haskell.
Comprehending Monads	Philip Wadler	1990	LFP	https://doi.org/10.1145/91556.91592	https://plv.mpi-sws.org/plerg/papers/comprehending-monads.pdf	monads-and-effects	Brings Moggi's monads into practical programming.
Separation Logic: A Logic for Shared Mutable Data Structures	John C. Reynolds	2002	LICS	https://doi.org/10.1109/LICS.2002.1029817		program-logics-and-verification	The frame rule and local reasoning about the heap.
The Java Memory Model	Manson, Pugh, Adve	2005	POPL	https://doi.org/10.1145/1040305.1040336	http://rsim.cs.uiuc.edu/Pubs/popl05.pdf	concurrency-and-memory-models	The first rigorous language-level memory model.
Gradual Typing for Functional Languages	Siek, Taha	2006	Scheme Workshop	https://scheme2006.cs.uchicago.edu/13-siek.pdf	https://scheme2006.cs.uchicago.edu/13-siek.pdf	practical-type-systems	Coins gradual typing and the consistency relation.
seL4: Formal Verification of an OS Kernel	Klein et al.	2009	SOSP	https://doi.org/10.1145/1629575.1629596	https://plsyssec.github.io/cse227-spring25/papers/sel4.pdf	program-logics-and-verification	First machine-checked correctness proof of a general-purpose OS kernel.
Mathematizing C++ Concurrency	Batty, Owens, Sarkar, Sewell, Weber	2011	POPL	https://doi.org/10.1145/1926385.1926394	https://www.cl.cam.ac.uk/~pes20/cpp/popl085ap-sewell.pdf	concurrency-and-memory-models	Formalizes the C11/C++11 relaxed-atomics model.
RustBelt: Securing the Foundations of the Rust Programming Language	Jung, Jourdan, Krebbers, Dreyer	2018	POPL	https://doi.org/10.1145/3158154	https://plv.mpi-sws.org/rustbelt/popl18/paper.pdf	program-logics-and-verification	First formal safety proof for a realistic Rust subset.
