era	title	authors	year	venue	url	open_pdf	topic	why
foundational	A Unified Approach to Global Program Optimization	Gary A. Kildall	1973	POPL	https://doi.org/10.1145/512927.512945	https://haoxintu.github.io/files/1-A%20Unified%20Approach%20to%20Global%20Program%20Optimization.pdf	ir-and-dataflow	Founds the lattice/monotone-framework view of iterative dataflow analysis.
foundational	Efficiently Computing Static Single Assignment Form and the Control Dependence Graph	Cytron, Ferrante, Rosen, Wegman, Zadeck	1991	ACM TOPLAS	https://doi.org/10.1145/115372.115320	https://www.cs.utexas.edu/~pingali/CS380C/2010/papers/ssaCytron.pdf	ir-and-dataflow	The dominance-frontier SSA construction that made SSA the default IR.
foundational	Abstract Interpretation: A Unified Lattice Model for Static Analysis	Patrick Cousot, Radhia Cousot	1977	POPL	https://doi.org/10.1145/512950.512973	https://www.di.ens.fr/~cousot/publications.www/CousotCousot-POPL-77-ACM-p238--252-1977.pdf	analysis-and-abstract-interpretation	The theory of sound static analysis via Galois connections and widening.
foundational	Register Allocation and Spilling via Graph Coloring	Gregory J. Chaitin	1982	SIGPLAN Compiler Construction	https://doi.org/10.1145/872726.806984	https://web.eecs.umich.edu/~mahlke/courses/583f12/reading/chaitin82.pdf	register-allocation-and-scheduling	The original graph-coloring formulation of register allocation.
foundational	Lazy Code Motion	Knoop, Ruthing, Steffen	1992	PLDI	https://doi.org/10.1145/143095.143136	http://rsim.cs.uiuc.edu/arch/qual_papers/compilers/knoop92.pdf	redundancy-and-vectorization	The clean, optimal formulation of partial-redundancy elimination.
post2002	LLVM: A Compilation Framework for Lifelong Program Analysis & Transformation	Chris Lattner, Vikram Adve	2004	CGO	https://doi.org/10.1109/CGO.2004.1281665	https://llvm.org/pubs/2004-01-30-CGO-LLVM.pdf	compiler-infrastructure	Launched LLVM, now the dominant reusable compiler infrastructure.
post2002	A Practical Automatic Polyhedral Parallelizer and Locality Optimizer (Pluto)	Bondhugula, Hartono, Ramanujam, Sadayappan	2008	PLDI	https://doi.org/10.1145/1375581.1375595	https://www.ece.lsu.edu/jxr/Publications-pdf/pldi08.pdf	compiler-infrastructure	Made the polyhedral model a practical automatic tiling/parallelization engine.
post2002	Formal Verification of a Realistic Compiler (CompCert)	Xavier Leroy	2009	CACM	https://doi.org/10.1145/1538788.1538814	https://xavierleroy.org/publi/compcert-CACM.pdf	verified-compilation	The first mechanically verified optimizing C compiler.
post2002	Halide: A Language and Compiler for Optimizing Image Processing Pipelines	Ragan-Kelley, Barnes, Adams, Paris, Durand, Amarasinghe	2013	PLDI	https://doi.org/10.1145/2491956.2462176	https://people.csail.mit.edu/jrk/halide-pldi13.pdf	compiler-infrastructure	Algorithm/schedule separation that reshaped DSL and tensor compilers.
post2002	Stochastic Superoptimization (STOKE)	Schkufza, Sharma, Aiken	2013	ASPLOS	https://doi.org/10.1145/2451116.2451150	https://theory.stanford.edu/~aiken/publications/papers/asplos13.pdf	verified-compilation	Reframes superoptimization as MCMC search over programs.
post2002	Provably Correct Peephole Optimizations with Alive	Lopes, Menendez, Nagarakatte, Regehr	2015	PLDI	https://doi.org/10.1145/2737924.2737965	https://users.cs.utah.edu/~regehr/papers/pldi15.pdf	verified-compilation	SMT-based verification of LLVM peephole optimizations.
post2002	MLIR: Scaling Compiler Infrastructure for Domain Specific Computation	Lattner, Amini, Bondhugula, Cohen, Davis, Pienaar, Riddle, Shpeisman, Vasilache, Zinenko	2021	CGO	https://doi.org/10.1109/CGO51591.2021.9370308	https://arxiv.org/pdf/2002.11054	compiler-infrastructure	The multi-level, dialect-based IR framework central to modern ML/accelerator stacks.
